Application,Application ID,Platform,Platform ID
Uncharted: The Nathan Drake Collection,1440140301397262508,,
Dreams,1440140375426863197,,
Agar.io,1440140390501191742,,
Zuma,1440140415721275554,,
Siren,1440140452929077268,,
Hill Climb Racing,1440140513306218616,,
Darkest Hour: Europe '44-'45,1440140567454416957,,
Gran Turismo Sport,1440140585595047977,,
JoJo's Bizarre Adventure: Eyes of Heaven,1440140677626200166,,
Sword Art Online: Hollow Realization,1440140689273913344,,
Skylanders: Imaginators,1440140755719946271,,
Hatsune Miku: Project Diva X,1440140814071234621,,
Metal Slug Anthology,1440141052119093318,,
Cool Boarders,1440141146297860107,,
Hatsune Miku: Project Diva Future Tone,1440141188031053855,,
"Spy Fox in ""Dry Cereal""",1440141206729392188,,
LocoRoco,1440141221954850826,,
Gothic II,1440141228002902056,,
Sonic Unleashed,1440141274941493258,,
Burnout Paradise,1440141298534453349,,
Ratchet & Clank: Size Matters,1440141394260787405,,
Dark Souls III: The Fire Fades Edition,1440141415786086460,,
Apeiron,1440141423969042503,,
RollerCoaster Tycoon 3,1440141463995285605,,
Aliens: Colonial Marines,1440141479640170657,,
13 Sentinels: Aegis Rim,1440141491778486374,,
Shadow of the Colossus,1440141522782916678,,
Ape Escape,1440141560816730132,,
Watchmen: The End Is Nigh,1440141583000272926,,
Coma,1440141606987497595,,
Taiko no Tatsujin: Drum Session,1440141634414051338,,
Half-Life: Source,1440141672519569518,,
Skate 2,1440141675224760502,,
Ninja Gaiden Sigma,1440141684494041149,,
Red Dead Revolver,1440141704807055501,,
Ghost of Tsushima,1440141722167279687,,
Dante's Inferno,1440141750776758272,,
Age of Chivalry,1440141755012874320,,
Exit,1440141786839519294,,
Jeanne d'Arc,1440141801691414588,,
Catherine: Full Body,1440141846843232287,,
Ridge Racer 2,1440141860529111112,,
Persona 5: Dancing in Starlight,1440141868817191013,,
Battlefield 1943,1440141879877570591,,
Farm Heroes Saga,1440141913473810465,,
Bejeweled 2 Deluxe,1440141916682322052,,
Dark Sector,1440141943706222622,,
Akumajou Dracula X: Gekka no Yasoukyoku,1440141965281853562,,
Geometry Dash World,1440141974169452664,,
Drift,1440141986395848735,,
Feeding Frenzy,1440142020269178970,,
Texas Hold'em Poker: Pokerist,1440142047326769354,,
Grow Castle,1440142060593086625,,
Hexic,1440142070034464979,,
Crossword Puzzle,1440142073234849793,,
Bullet Force,1440142084928438435,,
Deus Ex: Human Revolution,1440142112690536600,,
Asphalt Legends,1440142141027520583,,
Knowledge is Power: Decades,1440142187021991946,,
NHL 19,1440142198766309436,,
Nioh,1440142280727068723,,
MediEvil,1440142285378687099,,
PaRappa the Rapper 2,1440142316529647716,,
Girls' Frontline,1440142318941241354,,
Harvest Moon: Back To Nature,1440142354957996166,,
Legendary Fishing,1440142371617505373,,
The Last Guardian,1440142386448830525,,
Celtic Heroes,1440142406476365854,,
Halloween Match 3,1440142425241682091,,
