Application,Application ID,Platform,Platform ID
Homeworld: Deserts of Kharak,505117107097174062,epic,E209B2D1D5384F639335F64E3E6C4BB8
Magic: The Gathering Arena,505142532297064468,epic,5FDCC0DC67294AF3BE740F362BD976FD
Shadow Complex Remastered,505500036214292545,epic,Viper
Shadow Complex Remastered,505500036214292545,epic,VPR
Aimlabs,506950362461110273,epic,BAA1163025994AE3B1CF3D425230E90A
Galactic Civilizations III,507674068498120714,epic,3C52FBAC843D4375803187739DB84801
Ashen,520453007578628124,epic,WREN
Apex Legends,542075586886107149,epic,F9F24F4A353B451297E31F5DB9CC54F2
VALORANT,700136079562375258,epic,CBD5B3D310A54B12BF3FE8C41994174F
The Surge 2,733854133471150151,epic,EFFEE7C2775148E9A99F5685D29751D2
Rogue Company,737391147659558963,epic,933ADA2EC45E4184AE840D64C99E0BA9
Fall Guys,742897755160313986,epic,50118B7F954E450F8823DF1614B24E80
Genshin Impact,762434991303950386,epic,879B0D8776AB46A59A129983BA78F0CE
Assassin's Creed Valhalla,775754545778786314,epic,400347196E674DE89C23CC2A7F2121DB
Cyberpunk 2077,787443973538971748,epic,77F2B98E2CEF40C8A7437518BF420E47
Outriders,828186715994849280,epic,C6E54EBD92DA4EE8819C1C0956CEBDC4
Tribes of Midgard,874492645689397258,epic,6774AF9524FE4F63B2A6717D04269CD6
Disco Elysium,876570707306381342,epic,FF52981B1D9947978153C7A7F8BC6D90
Hogwarts Legacy,1080277149623271444,epic,E97659B501AF4E3981D5430DAD170911
Honkai: Star Rail,1121201675240210523,epic,A2DCBB9E34204BDA9DA8415F97B3F4EA
DEVOUR,1124349973711036548,epic,9B5C3F71934E42CA9AFD669D90508FA3
Totally Accurate Battle Simulator,1124349977460744242,epic,FFE512FA1E594EE6A75D4643D1E21B43
Horizon Zero Dawn,1124351698740195439,epic,3328B08AC1C14540AA265A1A85C07839
God of War,1124351711486689290,epic,3DDD6A590DA64E3686042D108968A6B2
Inscryption,1124351726158352456,epic,78546100323D461DBDA0306D6AF277E3
Dark Deception,1124351728049991680,epic,BDDBB30A6C36455A9CA82C3A0F91AF06
Remnant: From the Ashes,1124351734219817081,epic,663E521F2A444199BE58152FD93FA66E
Unrailed!,1124351738053394472,epic,5A6D34BA28BC45D081D9311C3885FEEF
Drawful 2,1124351742679728150,epic,DAISY
Marvel's Spider-Man Remastered,1124351769175150702,epic,4BC43145BB8245A5B5CC9EA262FFBE0E
Zero Hour,1124351783884570724,epic,35D137E3D82640ED9811D302E8067ECD
The Jackbox Party Pack 6,1124351785851703336,epic,4FECE418B513465D9416A700DB869585
Football Manager 2020,1124351787739136050,epic,C1CCF2BA1BC1473ABB6CA5168E1A670C
The Jackbox Party Pack 7,1124351811659247626,epic,FCEFD39BEDB14D6282FE2AC41EDBD5F8
The Jackbox Party Pack 5,1124351813395697705,epic,GERANIUM
Brotato,1124351818437242910,epic,3B391953CE4B42BB9A28A2FEE249154B
Detroit: Become Human,1124351832454615120,epic,COLUMBINE
Five Nights at Freddy's: Security Breach,1124351836544053340,epic,324DC1D18CA942D5852D677FB8710AD6
Days Gone,1124351840608333845,epic,9F4875C1B0CF4CF19B28E203FC7AFF07
Loop Hero,1124351844743917688,epic,FF50F85ED609454E80AC46D9496DA34D
Skul: The Hero Slayer,1124351848464269412,epic,6FEAC7E685174DD698E90CA9536E1299
Outer Wilds,1124351860376096858,epic,STARFISH
Blasphemous,1124351877941841950,epic,EDDB735DDE6B47CDA8193F2643CFF886
Football Manager 2021,1124351885151842345,epic,C2594740866D4BE69D38FCF08EF0176D
60 Seconds! Reatomized,1124351892546404432,epic,CC1D104767DC4A2FA22A44D487E2DB64
Asphalt Legends Unite,1124351901702570034,epic,9159CCEAAE3E48BC9A5EC237D7A4F388
Honkai Impact 3rd,1124351937098301590,epic,D2D162953FEC40E381867D7AF8371362
Chivalry 2,1124351943247155330,epic,BD46D4CE259349E5BD8B3DED20274737
Slime Rancher 2,1124351953024077845,epic,4F09EDE568514CA6AD487F9C22A66B81
Townscaper,1124351956475981905,epic,FABD66E7D1764EEC954CC99172BD13D8
The Outlast Trials,1124351960078897173,epic,6504CC61472E498796E0B4963A201438
SnowRunner,1124351964084449423,epic,2744ACDA6A2E493E9894B389B6564DF7
Untitled Goose Game,1124351991485837414,epic,F7E06EE3D0C1491094CC0215859F0120
Tropico 6,1124352008959312012,epic,E1055BF1E5654B93A27E19E6BB86CB2A
Jurassic World Evolution 2,1124352010850938890,epic,4817BA5C11504724BA4D5817C8995DFF
Timberborn,1124352019587674193,epic,3A1067DF83654812B976101174E1904F
Superliminal,1124352039397380096,epic,6CEC00F8934146508B884B0F139D55D0
Marvel's Spider-Man: Miles Morales,1124352059890749552,epic,F696430BE718494FAC1D6542CFB22542
Poly Bridge 2,1124352061660729344,epic,9B31326ADFF64C7FA7BBAC6E8D4A9E6E
Rogue Legacy 2,1124352069940301924,epic,4966D5DA285C4F2C876937844B0E23EE
Ranch Simulator,1124352071630602240,epic,6A9D6DF3F6F74983A7D77861CCFCF50B
Dead Space 3,1124352073316716604,epic,A8B1E0DF5FC847DA9B7971D5821EE6F6
Orcs Must Die! 3,1124352085920591975,epic,A1A52B1A570E4EE3AB3B2A8CA930753E
Tiny Tina's Wonderlands,1124352088042917969,epic,C37115918CCC4969A57B6B1BDC28AF4A
HUMANKIND,1124352097249407036,epic,02C14A01B7044DB98DE3F3A10813A42E
Rain World,1124352106107777134,epic,C8B495F1A9A34972BA0B0C46E8AFEC31
Transport Fever 2,1124352109765214208,epic,1760FFF3738043F2870594D94487FA4B
20 Minutes Till Dawn,1124352111812030464,epic,EE9FAD7056A94957B3A4D8C457000337
A Plague Tale: Innocence,1124352124097155164,epic,71D19DA3678943098859BAA9C4C39F95
Going Medieval,1124352128035594331,epic,D469E82D91FE4516A00D6566C3D2F8F7
Wildermyth,1124352129851736064,epic,466BB53962C14A6E80F3E3D919F123EB
DEATHLOOP,1124352135413379143,epic,7DEE3DDEAC7D427EB35DEF472BE64D9C
Iron Harvest,1124352145873973278,epic,F312BC218B1D46F7921619CC9F3BF3C7
